,iteration,loss,train_time,params,status
10,11,-0.989304835271896,3.1223394870758057,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 6.888701403385021, 'gpu_id': 0, 'learning_rate': 0.08442163109854307, 'max_delta_step': 2.0, 'max_depth': 10, 'min_child_weight': 3.0, 'n_estimators': 400, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.7194888528679474, 'reg_lambda': 0.4382828652974866, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
11,12,-0.9893330505980652,4.667659044265747,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 8.80146101434456, 'gpu_id': 0, 'learning_rate': 0.017220912326616374, 'max_delta_step': 3.0, 'max_depth': 4, 'min_child_weight': 3.0, 'n_estimators': 450, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.3984819586285322, 'reg_lambda': 0.6031600151340102, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
12,13,-0.9901334367421406,6.155254364013672,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 1.0, 'eval_metric': 'auc', 'gamma': 8.768378397951725, 'gpu_id': 0, 'learning_rate': 0.031420244559454406, 'max_delta_step': 4.0, 'max_depth': 17, 'min_child_weight': 6.0, 'n_estimators': 350, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.2725877665526465, 'reg_lambda': 0.31646084467371993, 'subsample': 0.1, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
13,14,-0.9893188509977616,5.87835693359375,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 3.6441067183631413, 'gpu_id': 0, 'learning_rate': 0.012853224023373353, 'max_delta_step': 2.0, 'max_depth': 4, 'min_child_weight': 5.0, 'n_estimators': 550, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.6180492870941935, 'reg_lambda': 0.2522353311624229, 'subsample': 0.4, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
14,15,-0.9901334036426549,4.206246376037598,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 5.74639423425305, 'gpu_id': 0, 'learning_rate': 0.0197141998363227, 'max_delta_step': 6.0, 'max_depth': 8, 'min_child_weight': 2.0, 'n_estimators': 450, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.9821462158107226, 'reg_lambda': 0.6013858634865767, 'subsample': 0.2, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
15,16,-0.9896934975696012,9.124660015106201,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 1.8260822772300518, 'gpu_id': 0, 'learning_rate': 0.010950787078429636, 'max_delta_step': 3.0, 'max_depth': 11, 'min_child_weight': 7.0, 'n_estimators': 700, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.5600099509569615, 'reg_lambda': 0.27512166301762797, 'subsample': 0.7000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
16,17,-0.9901545653239082,15.41562032699585,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 1.679560013079059, 'gpu_id': 0, 'learning_rate': 0.039939602084043284, 'max_delta_step': 5.0, 'max_depth': 17, 'min_child_weight': 3.0, 'n_estimators': 850, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.39336060616209945, 'reg_lambda': 0.932277266845014, 'subsample': 0.2, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
17,18,-0.989304835271896,5.277331113815308,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 6.285242698168398, 'gpu_id': 0, 'learning_rate': 0.05692227243709536, 'max_delta_step': 2.0, 'max_depth': 5, 'min_child_weight': 5.0, 'n_estimators': 650, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.8043660773318089, 'reg_lambda': 0.5994037122404386, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
18,19,-0.989715420650162,3.1082682609558105,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 2.6010188185032295, 'gpu_id': 0, 'learning_rate': 0.03715069352170129, 'max_delta_step': 5.0, 'max_depth': 6, 'min_child_weight': 6.0, 'n_estimators': 300, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.34524726576583964, 'reg_lambda': 0.9146033457588808, 'subsample': 0.4, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
19,20,-0.9901385549819958,10.579278945922852,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 4.83823353302416, 'gpu_id': 0, 'learning_rate': 0.04010883239380056, 'max_delta_step': 7.0, 'max_depth': 16, 'min_child_weight': 6.0, 'n_estimators': 800, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.9617426196827905, 'reg_lambda': 0.6359061589752499, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
